generation,best_fitness,avg_fitness
1,61,50.18
2,61,53.84
3,63,56.68
4,65,59.44
5,68,62.12
6,70,64.62
7,72,66.88
8,72,68.52
9,73,70.02
10,76,71.4
11,77,72.7
12,78,74.14
13,80,75.44
14,81,76.62
15,81,77.54
16,83,78.66
17,84,79.84
18,85,81.08
19,86,82.2
20,87,82.98
21,87,84.22
22,88,84.78
23,90,85.96
24,91,86.94
25,91,87.22
26,91,88.18
27,92,87.98
28,92,88.5
29,92,89.08
30,93,89.82
31,93,90.22
32,94,90.84
33,94,91.7
34,96,92.16
35,96,92.26
36,96,93.14
37,96,93.44
38,97,93.9
39,98,94.12
40,98,94.9
41,98,95.1
42,99,95.5
43,99,96.12
44,99,96.88
45,100,97.46
46,100,97.3
47,100,97.3
48,100,97.7
49,100,97.98
50,100,98.06
