generation,best_fitness,avg_fitness,best_solution
1,51,11.46,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
2,51,20.18,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
3,51,24.24,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
4,51,30.34,"[0, 1, 0, 1, 0, 1, 0, 1, 0, 0]"
5,53,33.36,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
6,59,36.42,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
7,59,36.34,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
8,59,42.72,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
9,59,53.08,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
10,59,56.48,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
11,59,56.14,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
12,59,52.46,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
13,59,54.9,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
14,59,50.12,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
15,59,56.2,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
16,59,57.42,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
17,59,53.7,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
18,59,52.2,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
19,59,52.18,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
20,59,54.54,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
21,59,55.28,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
22,59,54.04,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
23,59,54.78,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
24,59,54.78,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
25,59,57.22,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
26,59,54.82,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
27,59,49.84,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
28,59,53.32,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
29,59,51.2,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
30,59,53.0,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
31,59,56.56,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
32,59,56.94,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
33,59,56.92,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
34,59,51.58,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
35,59,56.08,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
36,59,53.02,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
37,59,50.7,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
38,59,54.26,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
39,59,56.0,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
40,59,55.18,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
41,59,52.76,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
42,59,54.84,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
43,59,56.78,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
44,59,54.5,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
45,59,54.38,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
46,59,54.94,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
47,59,56.02,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
48,59,55.06,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
49,59,56.24,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
50,59,57.04,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 0]"
